"","student_id","mother_educ","father_educ","gender","computer","internet","math","read","science","desk","room","television","computer_n","car","book","wealth","escs"
"15","806537","ISCED 3A","ISCED 3A","male","yes","yes",509.759,439.038,543.553,"yes","yes","1","1","1","0-10",-0.9393,0.1754
"16","803481","ISCED 2","ISCED 2","male",NA,"yes",357.951,271.812,269.695,NA,"yes","2","1","1","0-10",-0.7032,0.0224
"17","802726","ISCED 3A","ISCED 3B, C","male","yes","no",386.832,306.834,330.79,"yes","no","2","1","1","0-10",-1.3496,-0.0969
"18","805409","ISCED 3A","ISCED 3A","male","yes","yes",613.764,538.608,515.931,"yes","yes","3+","2","1","26-100",-0.629,-0.8423
"19","801918","ISCED 3A","ISCED 3A","female","yes","yes",530.713,500.759,522.916,"yes","yes","1","1","1","11-25",-1.1229,-0.7921
"20","806156","ISCED 2","ISCED 2","female","yes","yes",439.174,468.373,401.951,"yes","yes","2","1","0","0-10",-1.6244,-1.8055
"21","803867","ISCED 3B, C","ISCED 3A","male","yes","yes",514.134,351.961,398.019,"yes","yes","3+","1","2","26-100",-0.3576,0.3679
"22","803869","ISCED 2","ISCED 2","female","yes","yes",384.779,360.941,429.884,"yes","yes","2","2","3+","26-100",0.2624,-1.5213
"23","802671","ISCED 2","ISCED 2","female","yes","yes",457.886,357.264,375.85,"yes","yes","2","1","1","101-200",-1.0959,-0.8403
"24","806032","ISCED 3A","ISCED 3A","female","yes","yes",533.824,498.352,501.998,"yes","no","2","1","0","0-10",-1.9625,-1.2144
"25","806021","ISCED 3A","ISCED 3A","male","yes","yes",345.769,315.114,399.329,"yes","yes",NA,"2","1","11-25",-0.2534,-0.3714
"26","802463","ISCED 3B, C","ISCED 3A","female","yes","yes",400.921,342.77,332.922,"yes","yes","3+","1",NA,"11-25",0.0435,0.0646
"27","801026","ISCED 3A","ISCED 3A","female","yes","yes",543.269,465.791,483.568,"yes","yes","2","1","1","0-10",-1.2612,0.2505
"28","800788","ISCED 3B, C","ISCED 2","female","yes","yes",513.948,412.985,393.122,"yes","no","1","1",NA,"11-25",-0.9352,-0.6468
"29","801001","ISCED 3A","ISCED 3B, C","male","yes","yes",628.803,576.488,578.897,"yes","yes","2","1","1","26-100",-0.8399,-0.2682
"30","805458","ISCED 3A","ISCED 3A","male","no","yes",461.394,388.024,479.286,"yes","no","2","0","0","11-25",-2.6149,-1.8763
"31","806811","ISCED 2","ISCED 2","female","yes","yes",492.111,422.123,434.761,"yes","yes","2","1","0","0-10",-1.5273,-1.762
"32","806433","ISCED 2","ISCED 3B, C","male","yes","yes",328.211,311.622,287.188,"yes","yes","1","1","0","0-10",-1.4731,-0.1262
"33","800747","ISCED 2","ISCED 3A","male","yes","yes",429.898,380.028,445.357,"yes","yes","2","0","0","0-10",-1.5334,-0.9003
"34","801067","ISCED 2","ISCED 3A","male","yes","yes",419.91,414.637,481.363,"yes","yes","2","2","1","0-10",-0.3858,-1.0223
"35","800046","ISCED 2","ISCED 2","male","yes","yes",372.042,348.7,327.903,"yes","yes","2","2","2","0-10",-0.4183,-1.6219
"36","803633","ISCED 3A","ISCED 3A","male","yes","yes",503.255,507.485,483.324,"yes","yes","3+","1","2","0-10",0.1255,-0.2878
"37","805378","ISCED 3B, C","ISCED 3A","female","yes","yes",618.968,574.599,561.848,"yes","yes","2","1","1","26-100",-1.0554,0.2869
"38","802744","ISCED 2","ISCED 2","male","no","yes",396.653,323.616,329.26,"yes","yes","2","0","1","11-25",-1.3555,-1.924
"39","802728","ISCED 2","ISCED 3A","female","yes","yes",503.084,514.213,488.42,"yes","yes","2","0","2","11-25",-0.9943,-1.1944
"40","804780","ISCED 2","ISCED 2","male","no","yes",468.78,336.559,386.778,"yes","yes","3+","0","1","0-10",-1.4859,-2.2989
"41","804449","ISCED 2","ISCED 2","male","yes","yes",480.795,325.258,444.688,"yes","yes","1","1","0","11-25",-1.6563,-0.2454
"42","804129","ISCED 3A","ISCED 3A","female","yes","yes",471.985,456.084,431.676,"yes","yes","2","2","1","26-100",0.0962,-0.5775
"43","804398","ISCED 2","ISCED 3A","male","yes","yes",498.474,421.986,522.501,"yes","yes","3+","1","2","11-25",-0.5455,-0.8657
"44","806066","ISCED 3A","ISCED 3A","female","yes","yes",438.402,473.312,501.424,"yes","yes","1","1","0","11-25",-2.0222,-1.5439
"45","800624","ISCED 2","ISCED 1","male","no","yes",478.978,361.646,363.442,"yes","yes","1","0","0","11-25",-2.2089,-1.8899
"46","801245","ISCED 2","ISCED 2","male","yes","yes",436.489,372.307,363.137,"yes","yes","2","1","1","11-25",-1.1034,-1.7333
"47","806055","ISCED 3A","ISCED 2","male","yes","yes",432.303,322.513,356.86,"yes","yes","2","1","0","0-10",-1.417,-1.2028
"48","804117","ISCED 3A","ISCED 3A","male","yes","yes",392.586,405.55,507.573,"yes","yes","3+","1","0","11-25",-1.1064,0.2393
"49","804851","ISCED 2","ISCED 2","male","yes","yes",432.112,393.347,331.204,"yes","yes","3+","1","1","0-10",-0.848,-1.641
"50","806581","ISCED 3B, C","ISCED 3A","female","yes","yes",454.873,439.432,456.796,"yes","no","2","1","0","201-500",-2.0018,-0.6759
"51","78414533","ISCED 3A","ISCED 3A","male","yes","yes",558.171,489.987,493.529,"yes","yes","2","3+","2","101-200",0.3615,0.9912
"52","78401131","ISCED 3A","ISCED 3B, C","male","yes","yes",365.381,332.016,371.635,"yes","no","2","1","0","26-100",-1.4031,-0.6039
"53","78406316","ISCED 3A","ISCED 3A","male","yes","yes",375.144,329.006,334.012,"no","yes","3+","2","2","11-25",0.5787,0.1735
"54","78417433","ISCED 3B, C","ISCED 3A","female","yes","yes",332.312,407.534,351.618,"yes","yes","3+","1","3+","0-10",0.82,-0.0499
"55","78409244","ISCED 3A","ISCED 3A","male","yes","yes",272.184,202.388,200.935,"yes","yes","3+","3+","3+","0-10",1.2645,0.9533
"56","78401983","ISCED 3A","ISCED 3A","male","yes","yes",380.32,254.749,364.082,"yes","yes","0","2","1","0-10",-0.6061,0.3097
"57","78416427","ISCED 2","ISCED 2","female","yes","yes",338.865,375.745,353.339,"no","yes","3+","2","3+","0-10",-0.0889,-1.5573
"58","78406840","ISCED 3A","ISCED 3A","female","yes","yes",359.883,377.997,351.108,"yes","yes","3+","3+","3+","0-10",2.2302,0.1101
"59","78401644","ISCED 3A","ISCED 3A","female","yes","yes",488.368,539.188,448.393,"yes","yes","1","3+","3+","more than 500",1.0619,1.2862
"60","78400948","ISCED 3A","ISCED 3B, C","male","no","yes",480.506,478.571,466.995,"yes","no","1","1","1","201-500",-0.7295,0.4318
"61","78410609","ISCED 3A","ISCED 3A","female","yes","yes",266.905,346.633,284.196,NA,"yes","3+","3+","3+","201-500",2.2302,-0.2234
"62","78403471","ISCED 2","ISCED 3A","male","yes","yes",450.887,391.097,439.941,NA,NA,"2","2",NA,"0-10",0.539,-0.1653
"63","78412793","ISCED 3A","ISCED 3A","female","yes","no",397.091,536.688,498.166,"yes","no","1","1","1","0-10",-1.8724,0.015
"64","78404344","ISCED 3A","ISCED 3A","male","yes","yes",421.622,342.356,413.188,"yes","no","3+","1","2","11-25",-0.1924,0.619
"65","78417826","ISCED 3A","ISCED 3A","female","yes","yes",507.032,572.917,595.266,"yes","yes","3+","3+","3+","101-200",2.1788,1.2504
"66","78404391","ISCED 3B, C","ISCED 3A","male","yes","yes",387.994,432.725,370.741,NA,"no","3+","3+",NA,"26-100",0.288,-1.3468
"67","78409469","ISCED 3A","ISCED 3A","female","yes","yes",543.401,516.636,509.003,"no","no","1","3+","1","0-10",-0.1652,0.6737
"68","78415757","ISCED 3A","ISCED 3A","male","yes","yes",410.358,261.292,373.74,"yes","yes","2",NA,"1","201-500",-1.1228,-0.0444
"69","78402059","ISCED 3A","ISCED 3A","male","no","yes",540.137,535.092,538.684,"no","no","1","3+","2","101-200",-0.3226,0.1243
"70","78410544","ISCED 2","ISCED 2","male","yes","no",351.299,246.972,299.943,"yes","yes","0","0","0","0-10",-3.6442,-0.5293
"71","78400468","ISCED 3A","ISCED 3A","female","yes","yes",590.247,581.427,477.732,"yes","no","1","3+","2","11-25",-0.4882,0.8185
"72","78415756","ISCED 2","ISCED 3A","male","yes","yes",360.151,282.565,342.544,"yes","yes","3+","1","3+","11-25",0.1841,0.8238
"73","78410884","ISCED 3A","ISCED 3A","female","yes","yes",506.157,557.165,502.085,"yes","no","1","2","1","11-25",-0.6648,0.6219
"74","78406956","ISCED 3A","ISCED 3A","male","yes","yes",362.651,284.125,301.636,"yes","yes","3+","2","3+","101-200",0.4911,-0.163
"75","78420447","ISCED 3A","ISCED 3A","female","yes","yes",534.564,530.821,563.991,"yes","yes","1","2","1","11-25",-0.9925,0.7388
"76","78419912","ISCED 3A","ISCED 3A","female","yes","yes",408.202,505.038,397.976,"yes","no","3+","3+","2","0-10",1.133,-0.3058
"77","78403272","ISCED 3B, C","ISCED 3A","female","yes","yes",395.371,407.122,372.883,"yes","yes","1","1","1","101-200",-1.0554,-0.4307
"78","78415384","ISCED 3B, C","ISCED 3B, C","male","no","yes",464.645,360.191,406.657,"yes","no","0","1","0","11-25",-1.6768,-0.0268
"79","78413233","ISCED 3B, C","ISCED 3A","female","yes","yes",459.942,417.896,402.049,"yes","yes","3+","3+","2","101-200",1.7447,0.2381
"80","78401458","ISCED 3A","ISCED 3A","male","yes","yes",466.894,404.336,499.608,"yes","yes","2","2","3+","11-25",0.518,0.6601
"81","78405439","ISCED 3A","ISCED 3A","female","yes","yes",576.613,728.751,676.828,"yes","yes","1","3+","2","201-500",0.2309,1.0964
"82","78401536","ISCED 3A","ISCED 3A","female","no","yes",434.076,451.734,420.074,"yes","yes","1","1","0","11-25",-2.3349,-0.0425
"83","78420865","ISCED 3A","ISCED 3A","female","yes","yes",468.249,541.841,611.253,"yes","yes","3+","3+","2","101-200",1.539,1.7132
"84","78416049","ISCED 2","ISCED 3A","male","yes","yes",400.562,407.283,478.029,"yes","yes","3+","1",NA,"0-10",-0.2833,-0.3306
"85","78412223","ISCED 2","ISCED 3A","male","yes","yes",429.813,296.992,281.511,"yes","yes","3+","3+","3+","26-100",2.1788,0.2866
"86","78410339","ISCED 3A","ISCED 3A","female","yes",NA,496.629,564.947,514.313,NA,NA,NA,"2",NA,"26-100",NA,0.8962
"87","78403031","ISCED 2","ISCED 3A","male","no","yes",460.962,484.984,458.79,"yes","yes","3+","0",NA,"0-10",0.5124,-0.2815
"88","78420773","ISCED 3A","ISCED 3A","male","yes","yes",524.279,526.004,482.783,"yes","yes","3+","3+","3+","26-100",2.1788,1.5991
"89","78400231","ISCED 3A","ISCED 3A","female","yes","yes",452.638,400.514,407.303,"no","yes","2","0","1","0-10",-0.9492,-0.0218
"90","78407218","ISCED 3B, C","ISCED 3B, C","male","yes","yes",264.136,257.716,301.018,"yes","yes",NA,"3+","3+","11-25",2.287,-0.0401
"91","78420577","ISCED 3A","ISCED 3A","female","yes","yes",556.639,562.66,591.559,"yes","yes","1","2","2","101-200",-0.247,0.7946
"92","78404383","ISCED 3A","ISCED 3A","male","yes","yes",507.289,487.081,524.863,"yes","yes","1","1","2","26-100",-0.3184,0.7115
"93","78419185","ISCED 3A","ISCED 3A","female","yes","yes",430.869,454.187,540.052,"yes","yes","1","1","1","101-200",-0.6559,-0.1257
"94","78400427","ISCED 3A","ISCED 3A","male","yes","yes",454.939,389.212,350.878,"yes","yes","1","0","1","0-10",-1.8272,-0.1852
"95","78406354","ISCED 3A","ISCED 3A","female","yes","yes",337.951,414.212,358.843,"yes","yes","2","2","2","11-25",0.0754,0.2215
"96","78406938","ISCED 3A","ISCED 3A","male","no","no",475.832,312.348,362.506,"yes","yes","0","0","1","0-10",-2.7417,-1.1047
"97","78414057",NA,NA,"female",NA,NA,411.734,396.217,415.688,NA,NA,NA,NA,NA,NA,NA,NA
"98","78414028","ISCED 3A","ISCED 3B, C","male","yes","yes",438.901,268.002,356.717,"yes","yes","3+","3+","3+","26-100",4.3658,0.5782
"99","78401140","ISCED 3A","ISCED 3A","female","yes","yes",551.211,484.595,483.744,"yes","yes","3+","3+","2","26-100",1.1279,0.9091
"100","78403544","ISCED 3A",NA,"male","yes","yes",449.672,481.594,465.75,"yes","no","3+","3+","2","0-10",0.1628,-1.1315
"101","3205205","ISCED 1","ISCED 3A","female","no","no",302.199,355.161,346.25,"yes","yes","2","1","0","0-10",-1.8463,-1.0113
"102","3205525","ISCED 2","ISCED 2","female",NA,"yes",355.193,405.695,313.712,NA,"yes","3+","1","0","26-100",-0.5714,-0.6088
"103","3206583","ISCED 3A","ISCED 3A","male","yes","yes",242.117,252.338,303.747,"yes","yes","2","2","1","0-10",0.0586,-0.8103
"104","3204785","ISCED 3A","ISCED 3A","female","no","yes",326.929,332.024,297.666,"no","no","3+","0","3+","0-10",0.0337,-0.5836
"105","3207537","ISCED 1","ISCED 3A","female","yes","yes",283.245,297.776,315.676,"yes","no","2","1","0","0-10",-1.3312,-1.3432
"106","3201641","ISCED 2","ISCED 3A","female","no","yes",400.768,486.54,509.882,"yes","no","3+","2","0","0-10",-0.8594,0.1029
"107","3205811","ISCED 3A","ISCED 3A","female","yes","yes",328.118,461.869,425.04,"yes","no","3+","3+","3+","201-500",0.2445,1.0301
"108","3204156","ISCED 2","ISCED 3A","male","yes","yes",372.425,412.143,412.592,"yes","yes","3+","1","2","0-10",-0.9554,-0.6328
"109","3203139","ISCED 2","ISCED 3A","male","yes","yes",418.225,413.371,467.287,"yes","yes","2","3+","2","26-100",0.1573,0.4411
"110","3201805","ISCED 3A","ISCED 3A","female","yes","yes",389.14,386.612,419.244,"no","no","3+","3+","1","0-10",0.1505,0.0292
"111","3208462","ISCED 3A","less than ISCED1","male","yes","yes",235.958,331.547,321.238,"yes","yes","1","2","2","0-10",-0.3715,-0.4929
"112","3200132","ISCED 2","ISCED 3A","female","yes","yes",408.86,432.836,348.804,"yes","no","1","3+","0","11-25",-1.6879,-0.5657
"113","3202418",NA,NA,"male","yes","yes",328.511,423.402,403.941,"yes","yes","3+","1","1","0-10",-0.4795,-1.3052
"114","3207346","ISCED 1",NA,"female","yes","yes",300.527,352.148,278.709,"yes","yes","3+","2","1","26-100",-0.2243,-1.8924
"115","3211259","ISCED 2","ISCED 1","female","yes","no",372.526,258.981,347.609,"yes","yes","3+","2","2","0-10",-0.5577,-1.6764
"116","3209605","ISCED 2","ISCED 2","female","no","yes",343.515,412.324,463.579,"yes","yes","2","0","0","0-10",-1.9077,-0.8885
"117","3200565","ISCED 3A","ISCED 3A","male","yes","yes",372.36,373.38,370.301,"yes","yes","3+","2","1","26-100",-0.3426,0.7406
"118","3206158","ISCED 2","ISCED 1","female","no","no",331.928,309.698,371.011,"no","yes","1","0","0","0-10",-3.8293,-3.2665
"119","3210182",NA,NA,"female","yes","yes",299.124,388.085,238.025,"yes","yes","2","2","1","0-10",-0.8998,-0.7623
"120","3214282","ISCED 3A","ISCED 3A","male","yes","yes",451.837,493.92,533.27,"yes","no",NA,"3+","1","101-200",-0.3457,1.0199
"121","3205249","ISCED 2","less than ISCED1","female","no","yes",287.381,367.914,417.615,"yes","yes","3+","1","1","11-25",-0.7485,-0.9751
"122","3200543","ISCED 3A","ISCED 2","male",NA,NA,173.064,274.721,273.899,NA,"yes",NA,NA,"1","0-10",NA,-0.6072
"123","3209091","ISCED 2",NA,"male","yes","no",202.392,199.18,301.338,NA,"yes","2",NA,"0","0-10",-2.1669,-0.6119
"124","3207308","ISCED 3A","ISCED 3A","male","yes","yes",424.382,369.365,530.948,"yes","yes","3+","2","0","11-25",-0.9363,-0.6907
"125","3204711","ISCED 2","ISCED 3A","male","yes","yes",373.778,375.471,433.364,"no","no","3+","2","1","11-25",-0.7614,-0.966
"126","3212221","ISCED 2","ISCED 3A","male","no","yes",234.87,170.086,273.899,"yes","yes","3+","0","1","26-100",-0.8151,0.0163
"127","3205394","ISCED 3A","ISCED 3A","male","yes","yes",482.956,552.779,564.221,"yes","yes","3+","1","0","11-25",-0.5254,0.6038
"128","3202737","ISCED 3A","ISCED 3A","male","yes","yes",445.507,482.205,494.309,"yes","yes","3+","2","1","201-500",-0.4406,0.1748
"129","3206673","ISCED 3A","ISCED 3A","female","yes","yes",376.327,466.455,359.431,"yes","yes","3+","3+","3+","26-100",0.7024,1.0611
"130","3206005","ISCED 3A","ISCED 3A","male","yes","yes",591.069,509.472,564.225,"yes","no","2","2","2","101-200",-0.2883,0.5047
"131","3207896","ISCED 3A","ISCED 3A","male","yes","yes",391.204,405.732,316.165,"yes","no","1","3+","1","11-25",-0.6454,0.5421
"132","3213947","less than ISCED1","ISCED 1","female","no","yes",478.896,447.6,413.455,"yes","yes","1","1","3+","0-10",-0.8828,-2.1486
"133","3206467","ISCED 3A","ISCED 3A","male","yes","yes",392.214,383.373,437.146,"no","no","2","1","0","11-25",-1.6178,-1.2051
"134","3211583","ISCED 2","ISCED 2","male","yes","no",301.05,268.372,283.308,"no","yes","2","0","1","0-10",-2.1603,-2.092
"135","3202409","ISCED 1","less than ISCED1","male","no","no",325.621,349.436,348.889,"no","yes","2",NA,NA,"0-10",-3.199,-3.8657
"136","3200897","ISCED 3A","ISCED 2","male","yes","yes",398.567,379.922,404.524,"yes","yes","3+","1","1","101-200",-0.9587,0.4246
"137","3204029","ISCED 3A","ISCED 3A","male","yes","yes",426.211,424.518,537.197,"yes","yes","3+","2","0","26-100",-0.7088,-0.7451
"138","3201743","ISCED 3A","ISCED 3A","female","yes","yes",537.466,483.982,508.174,"yes","yes","3+","2","2","26-100",0.1291,0.8255
"139","3213713","ISCED 3A",NA,"female","yes","yes",372.174,428.03,372.221,"yes","no","2","2","2","0-10",-0.1175,0.7267
"140","3211931","ISCED 1","ISCED 1","male","yes","no",248.63,318.444,388.179,"yes","no","3+","0","1","0-10",-2.3742,-2.7631
"141","3209073","ISCED 2","ISCED 3A","female","yes","no",280.405,279.659,326.851,"no","yes","3+","1","0","0-10",-1.0643,-1.2494
"142","3213919","ISCED 3A","ISCED 3A","female","no","no",297.824,352.25,398.549,"no","yes","2","0","0","0-10",-2.9572,-2.1846
"143","3210786","ISCED 1","ISCED 3A","female","yes","yes",468.812,414.546,433.394,"no","yes","3+","2","2","101-200",0.414,0.7559
"144","3212097","ISCED 3A","ISCED 3A","male","yes","yes",504.364,538.947,470.005,"no","yes","2","1","1","0-10",-1.2161,-0.5535
"145","3207605","ISCED 1","ISCED 2","male","yes","yes",375.79,341.653,419.581,"yes","yes","3+","2","1","11-25",-0.6618,-1.786
"146","3207598","ISCED 3A","ISCED 3A","female","yes","yes",365.348,393.308,433.388,"yes","yes","3+","3+","1","11-25",0.2228,-0.5288
"147","3200597","ISCED 3A","ISCED 3A","female","yes","no",381.757,402.86,329.944,NA,"no","2","2","0","0-10",-1.8567,-1.6331
"148","3212920","ISCED 3A","ISCED 2","male","yes","yes",361.02,536.146,459.9,"yes","yes","3+","1","3+","26-100",0.0444,-0.192
"149","3203649","ISCED 3A","ISCED 1","male","yes","yes",359.92,394.507,402.73,"yes","no","2","1","2","11-25",-0.6372,0.6592
"150","3204778",NA,NA,"male","no",NA,272.51,375.347,359.947,NA,NA,"2","1","0","0-10",-2.0218,-1.9296
"151","3607298","ISCED 3A","ISCED 3A","female","yes","yes",567.403,617.016,611.024,"yes","yes","2","3+","3+","201-500",1.5219,1.0353
"152","3600078","ISCED 3A","ISCED 2","female","yes","yes",453.741,563.449,602.75,"yes","yes","3+","3+","3+","201-500",2.1051,1.3286
"153","3609231",NA,NA,"male",NA,NA,453.533,430.08,542.833,NA,NA,NA,NA,NA,NA,NA,NA
"154","3612466","ISCED 2","ISCED 2","female","yes","yes",542.856,588.826,477.175,"yes","yes","2","3+","2","101-200",0.4296,-0.438
"155","3620680","ISCED 3A","ISCED 3A","male","yes","yes",604.359,650.337,607.964,"yes","yes","3+","3+","3+","201-500",1.061,0.4615
"156","3613965","ISCED 3A","ISCED 3A","female","yes","yes",676.712,688.022,616.318,"yes","yes","2","3+","3+","201-500",0.9116,1.547
"157","3606764","ISCED 3A","ISCED 3A","male","yes","yes",451.313,544.483,521.95,"yes","yes","2","3+","2","26-100",0.5013,0.356
"158","3608144",NA,NA,"male","yes","yes",542.034,648.872,597.107,"yes","yes","2","2","1","26-100",-0.3609,-1.0095
"159","3606329","ISCED 3A","ISCED 3A","male","yes","yes",490.697,459.219,528.758,"yes","yes","3+","2","2","26-100",0.5756,-0.484
"160","3618035","ISCED 3A","ISCED 3A","male","yes","yes",685.655,686.578,586.771,"yes","yes","1","2","2","26-100",-0.5732,-0.3796
"161","3613622","ISCED 2",NA,"female","no","yes",450.273,416.851,458.551,"no","no","3+","1","2","26-100",-0.9413,-2.4445
"162","3607107","ISCED 2","ISCED 2","female","yes","yes",378.998,362.144,328.213,"yes","yes","3+","2","3+","11-25",0.4678,-1.1769
"163","3620824","ISCED 3A","ISCED 2","female","yes","yes",452.026,474.418,419.301,"yes","yes","2","1","2","11-25",-0.396,-0.6853
"164","3612665","ISCED 3A","ISCED 2","female","yes","yes",640.13,588.816,578.529,"yes","yes","3+","3+","2","26-100",0.6998,-0.2509
"165","3619185","ISCED 1","ISCED 2","female","yes","yes",384.185,388.596,420.561,"yes","yes","3+","2","2","11-25",-0.2264,-1.6543
"166","3607813","ISCED 3A","ISCED 3A","female","yes","yes",554.217,609.39,552.52,"yes","yes","3+","3+","2","26-100",0.6797,0.8312
"167","3617744","ISCED 3A","ISCED 3A","male","yes","yes",481.888,517.613,493.269,"yes","yes","3+","3+","2","201-500",0.9352,1.2561
"168","3607487","ISCED 3A","ISCED 3A","female","yes","yes",378.853,436.596,382.119,"yes","yes","3+","3+","3+","26-100",1.8066,0.7685
"169","3612419","ISCED 3B, C","ISCED 2","female","yes","yes",463.505,540.467,444.774,"yes","yes","3+","3+","3+","26-100",0.8156,-0.1457
"170","3604314","ISCED 3A","ISCED 3A","female","yes","yes",381.723,437.804,393.128,"yes","yes","2","3+","3+","201-500",1.1665,1.6518
"171","3606127",NA,NA,"female",NA,NA,468.552,463.288,487.04,NA,NA,NA,NA,NA,NA,NA,NA
"172","3612026","ISCED 3A","ISCED 3A","male","yes","yes",465.102,605.29,577.988,"yes","yes","2","3+","1","101-200",-0.2263,0.8268
"173","3615637","ISCED 3A","ISCED 3A","female","yes","yes",618.43,673.62,637.502,"yes","yes","2","3+","2","more than 500",1.3315,1.8616
"174","3609632","ISCED 3B, C","ISCED 2","female","yes","yes",537.109,588.112,526.639,"yes","yes","3+","3+","3+","0-10",1.8066,-0.0015
"175","3601223","ISCED 2","ISCED 2","female","yes","yes",411.673,391.49,396.086,"yes","yes","3+","2",NA,"26-100",0.6276,-0.3467
"176","3621308","ISCED 2","ISCED 2","female","yes","yes",504.035,490.801,530.543,"yes","yes","1","3+","1","0-10",-0.2323,-0.2938
"177","3620187","ISCED 3A","ISCED 3A","female","yes","yes",508.435,469.643,437.105,"yes","yes","3+","3+","2","more than 500",0.3015,1.137
"178","3603880","ISCED 3B, C","ISCED 3A","female","yes","yes",599.551,674.9,689.978,"yes","yes","3+","2","3+","26-100",0.7335,0.1436
"179","3621353","ISCED 3A","ISCED 3A","male","yes","yes",528.445,446.601,518.401,"yes","yes","2","3+","2","26-100",0.1017,1.0414
"180","3620610","ISCED 3A","ISCED 3A","female","yes","yes",343.047,352.957,286.819,"yes","yes","3+","2","3+","101-200",0.8552,0.2801
"181","3622571","ISCED 2","ISCED 3A","male","yes","yes",662.614,673.303,631.289,"yes","yes","2","3+","2","26-100",-0.0999,1.2083
"182","3607551","ISCED 3A","ISCED 3A","female","yes","yes",762.081,678.919,729.322,"yes","yes","1","3+","1","101-200",0.0443,0.6667
"183","3608378","ISCED 3A","ISCED 3A","male","yes","yes",453.946,588.36,531.318,"yes","no","3+","3+","3+","201-500",0.8363,1.3456
"184","3618901","ISCED 3A","ISCED 3A","female","yes","yes",447.691,387.198,395.982,"yes","yes","2","3+","2","101-200",0.614,-0.5192
"185","3610836","ISCED 3A","ISCED 1","female","yes","yes",431.635,438.995,390.496,"yes","yes","2","1","3+","11-25",-0.1318,0.5391
"186","3621833","ISCED 3A","ISCED 3A","male","yes","yes",549.913,395.955,463.16,"yes","yes","3+","2","2","26-100",1.0339,0.1712
"187","3607229",NA,NA,"male",NA,NA,481.774,435.283,465.565,NA,NA,NA,NA,NA,NA,NA,NA
"188","3619353","ISCED 3B, C","ISCED 2","female","yes","yes",439.515,415.453,425.907,"yes","yes","1","2","3+","101-200",0.1023,0.0918
"189","3619975","ISCED 3B, C","ISCED 2","female","yes","no",594.402,645.517,662.913,"yes","yes","3+","3+","3+","more than 500",0.8765,0.6349
"190","3609068","ISCED 3A","ISCED 2","male","no","yes",501.456,474.492,517.261,"no","yes","3+","2",NA,"11-25",0.5146,-0.8504
"191","3613482","ISCED 3A","ISCED 3A","female","yes","yes",528.86,499.813,592.492,"yes","yes","2","2","3+","26-100",0.9897,-0.2706
"192","3620258","ISCED 2","ISCED 2","female","yes","yes",464.589,525.559,463.417,"no","yes","3+","3+","2","101-200",0.7709,-0.8533
"193","3600099","ISCED 3A","ISCED 3A","male","yes","yes",558.893,544.222,524.419,"yes","yes",NA,"3+","2","11-25",0.0944,0.6174
"194","3613495","ISCED 3A","ISCED 2","female","yes","yes",440.994,492.446,421.935,"yes","yes","3+","3+","2","201-500",0.7709,1.1855
"195","3620156","ISCED 3A","ISCED 3A","male","yes","yes",646.058,633.31,643.267,"no","yes","1","3+","3+","11-25",1.0574,-0.24
"196","3604907","ISCED 2","ISCED 1","female","yes","yes",658.307,620.555,671.696,"no","yes","1","3+","3+","26-100",0.8159,-0.3236
