LA_NAME,SCHOOL,ID,PCODE,ESTAB,P_CON,P_CON_NUM,WARD,WARD_NUM,LA_NUM,LAESTAB,OPEN,SEX,NUM_FSM,PER_FSM,SCH_TYPE,ADMIN_POL,DENOM,GIRL,BOY,STUDENT,NUM_BRIT_W,BRIT_W,NUM_IRISH,IRISH,NUM_IRISH_T,IRISH_T,NUM_WHITE_O,WHITE_O,NUM_GYPSY_ROMA,GYPSY_ROMA,NUM_CARIB_WB,CARIB_WB,NUM_AFRICA_WB,AFRICA_WB,NUM_ASIAN_WA,ASIAN_WA,NUM_MIXED_O,MIXED_O,NUM_INDIAN,INDIAN,NUM_PAKIST,PAKIST,NUM_BANG,BANG,NUM_ASIAN_O,ASIAN_O,NUM_CARIB,CARIB,NUM_AFRICA,AFRICA,NUM_BLACK_O,BLACK_O,NUM_CHIN,CHIN,NUM_OTHER,OTHER,NUM_UNCLASS,UNCLASS,NUM_ENGLISH,ENGLISH,NUM_ENGLISH_NO,ENGLISH_NO,NUM_LAN_UNCLASS,LANG_UNCLASS,LA_BRIT_W,LA_IRISH,LA_IRISH_T,LA_WHITE_O,LA_GYPSY_ROMA,LA_CARIB_WB,LA_AFRICA,LA_AFRICA_WB,LA_ASIAN_WA,LA_MIXED_O,LA_INDIAN,LA_PAKIST,LA_BANG,LA_ASIAN_O,LA_CARIB,LA_BLACK_O,LA_CHIN,LA_OTHER,LA_UNCLASS,DIFF_BRIT_W,DIFF_IRISH,DIFF_IRISH_T,DIFF_WHITE_O,DIFF_GYPSY_ROMA,DIFF_CARIB_WB,DIFF_AFRICA,DIFF_AFRICA_WB,DIFF_ASIAN_WA,DIFF_MIXED_O,DIFF_INDIAN,DIFF_PAKIST,DIFF_BANG,DIFF_ASIAN_O,DIFF_CARIB,DIFF_BLACK_O,DIFF_CHIN,DIFF_OTHER,INTEG
Barking and Dagenham,Southwood Primary School,131845,RM9 5LT,2074,Barking,E14000540,Parsloes,E05000037,E09000002,3012074,25/11/1998,Mixed,118,19.4,State-funded primary,Not applicable,No religious character,315,295,607,170,36.9,0,0,0,0,71,15.4,0,0,21,4.6,6,1.3,1,0.2,5,1.1,8,1.7,28,6.1,23,5,12,2.6,6,1.3,85,18.4,8,1.7,4,0.9,9,2,4,0.9,251,54.4,208,45.1,2,0.4,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,10.185597,0.2717007,0.065095,2.0583647,0.4415136,2.1575241,5.5039991,0.7603968,0.8273682,1.0509637,1.6792772,0.0631506,2.3925226,0.2132341,1.2160615,1.019837,0.6254691,0.3075312,30.8396062
Barking and Dagenham,John Perry Primary School,101232,RM10 8UR,2069,Dagenham and Rainham,E14000657,Village,E05000041,E09000002,3012069,,Mixed,88,14.8,State-funded primary,Not applicable,No religious character,295,300,595,128,28.3,0,0,1,0.2,62,13.7,4,0.9,25,5.5,21,4.6,4,0.9,19,4.2,10,2.2,4,0.9,31,6.9,12,2.7,7,1.5,104,23,11,2.4,3,0.7,5,1.1,1,0.2,211,46.7,241,53.3,0,0,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,1.585597,0.2717007,0.134905,0.3583647,0.4584864,3.0575241,0.9039991,2.5396032,0.1273682,2.0490363,1.1792772,5.1368494,0.4925226,0.1132341,1.0160615,0.319837,0.4254691,0.5924688,20.7623044
Barking and Dagenham,Barking and Dagenham Tuition Service,132816,RM9 6TJ,1100,Barking,E14000540,Goresbrook,E05000033,E09000002,3011100,04/01/2001,Mixed,45,25,Pupil referral unit,Not applicable,No religious character,65,115,180,90,50,1,0.6,1,0.6,30,16.7,2,1.1,8,4.4,2,1.1,0,0,3,1.7,1,0.6,3,1.7,2,1.1,10,5.6,5,2.8,12,6.7,7,3.9,0,0,2,1.1,1,0.6,124,68.9,55,30.6,1,0.6,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,23.285597,0.3282993,0.534905,3.3583647,0.6584864,1.9575241,17.2039991,0.9603968,1.0273682,0.4509637,2.7792772,4.3368494,6.2925226,2.7867659,0.2839385,1.180163,0.2745309,0.5924688,68.2924206
Barking and Dagenham,William Ford CofE Primary School,101234,RM10 9JS,3301,Dagenham and Rainham,E14000657,River,E05000038,E09000002,3013301,,Mixed,45,12.7,State-funded primary,Not applicable,Church of England,170,180,354,97,27.4,1,0.3,0,0,21,5.9,0,0,6,1.7,7,2,5,1.4,3,0.8,7,2,5,1.4,6,1.7,2,0.6,11,3.1,153,43.2,15,4.2,1,0.3,5,1.4,9,2.5,205,57.9,140,39.5,9,2.5,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,0.685597,0.0282993,0.065095,7.4416353,0.4415136,0.7424759,19.2960009,0.0603968,0.3726318,1.3509637,1.3792772,4.6368494,5.6925226,2.2132341,0.5839385,1.480163,0.0254691,0.2924688,46.788532
Barking and Dagenham,Riverside School,139791,IG11 0HZ,4001,Barking,E14000540,Thames,E05000039,E09000002,3014001,02/09/2013,Mixed,126,26.1,State-funded secondary,Comprehensive,No religious character,250,230,482,100,20.7,0,0,0,0,56,11.6,0,0,10,2.1,7,1.5,2,0.4,8,1.7,5,1,10,2.1,55,11.4,6,1.2,10,2.1,150,31.1,33,6.8,0,0,8,1.7,22,4.6,233,48.3,249,51.7,0,0,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,6.014403,0.2717007,0.065095,1.7416353,0.4415136,0.3424759,7.1960009,0.5603968,0.6273682,0.4509637,2.3792772,3.9368494,4.0074774,1.6132341,0.4160615,4.080163,0.2745309,0.0075312,34.4266778
Barking and Dagenham,The Leys Primary School,101216,RM10 9YR,2052,Dagenham and Rainham,E14000657,Village,E05000041,E09000002,3012052,,Mixed,123,29.6,State-funded primary,Not applicable,No religious character,220,195,415,97,29.8,4,1.2,3,0.9,30,9.2,4,1.2,7,2.2,11,3.4,5,1.5,5,1.5,6,1.8,2,0.6,14,4.3,3,0.9,4,1.2,92,28.3,11,3.4,0,0,22,6.8,5,1.5,173,53.2,137,42.2,15,4.6,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,3.085597,0.9282993,0.834905,4.1416353,0.7584864,0.2424759,4.3960009,1.3396032,0.4726318,0.6509637,1.5792772,5.4368494,3.0925226,1.9132341,1.3160615,0.680163,0.2745309,5.1075312,36.2507684
Barking and Dagenham,Dorothy Barley Junior Academy,140687,RM8 2NB,2002,Barking,E14000540,Mayesbrook,E05000036,E09000002,3012002,01/06/2014,Mixed,114,26,State-funded primary,,No religious character,235,205,439,176,40.1,1,0.2,0,0,61,13.9,2,0.5,15,3.4,10,2.3,3,0.7,11,2.5,7,1.6,9,2.1,19,4.3,14,3.2,13,3,53,12.1,30,6.8,2,0.5,13,3,0,0,247,56.3,192,43.7,0,0,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,13.385597,0.0717007,0.065095,0.5583647,0.0584864,0.9575241,11.8039991,0.2396032,0.3273682,0.3490363,1.7792772,3.9368494,3.0925226,0.3867659,0.4839385,4.080163,0.2254691,1.3075312,43.1092916
Barking and Dagenham,Eastbrook School,101243,RM10 7UR,4023,Dagenham and Rainham,E14000657,Eastbrook,E05000030,E09000002,3014023,,Mixed,253,27,State-funded secondary,Comprehensive,No religious character,470,465,936,278,29.7,0,0,0,0,177,18.9,13,1.4,12,1.3,22,2.4,6,0.6,20,2.1,8,0.9,25,2.7,54,5.8,29,3.1,17,1.8,192,20.5,35,3.7,2,0.2,26,2.8,20,2.1,493,52.7,429,45.8,14,1.5,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,2.985597,0.2717007,0.065095,5.5583647,0.9584864,1.1424759,3.4039991,0.3396032,0.4273682,0.0509637,2.4792772,3.3368494,1.5925226,0.2867659,0.7160615,0.980163,0.0745309,1.1075312,25.7773556
Barking and Dagenham,Ripple Primary School,101198,IG11 7QS,2015,Barking,E14000540,Eastbury,E05000031,E09000002,3012015,,Mixed,176,14.9,State-funded primary,Not applicable,No religious character,575,610,1185,90,9.7,0,0,0,0,143,15.4,2,0.2,17,1.8,21,2.3,7,0.8,69,7.4,94,10.1,120,12.9,90,9.7,32,3.5,21,2.3,168,18.1,17,1.8,0,0,36,3.9,0,0,184,19.8,742,80,1,0.1,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,17.014403,0.2717007,0.065095,2.0583647,0.2415136,0.6424759,5.8039991,0.2396032,0.2273682,5.2490363,6.7207228,6.8631506,2.3074774,0.6867659,0.2160615,0.919837,0.2745309,2.2075312,52.009637
Barking and Dagenham,Manor Infants' School/Manor Longbridge,101193,IG11 9AG,2010,Barking,E14000540,Longbridge,E05000035,E09000002,3012010,,Mixed,116,9.6,State-funded primary,Not applicable,No religious character,590,620,1209,70,9.2,0,0,4,0.5,86,11.3,0,0,21,2.8,19,2.5,20,2.6,18,2.4,57,7.5,130,17.1,138,18.2,18,2.4,19,2.5,111,14.6,14,1.8,4,0.5,29,3.8,2,0.3,256,33.7,500,65.8,4,0.5,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,17.514403,0.2717007,0.434905,2.0416353,0.4415136,0.3575241,9.3039991,0.4396032,1.5726318,0.2490363,4.1207228,11.0631506,10.8074774,0.4132341,0.0160615,0.919837,0.2254691,2.1075312,62.3004358
Barking and Dagenham,Roding Primary School,101230,RM8 2XS,2067,Barking,E14000540,Mayesbrook,E05000036,E09000002,3012067,,Mixed,223,17.4,State-funded primary,Not applicable,No religious character,615,665,1282,309,31.3,6,0.6,0,0,167,16.9,5,0.5,20,2,21,2.1,16,1.6,27,2.7,14,1.4,24,2.4,40,4,32,3.2,18,1.8,236,23.9,36,3.6,5,0.5,9,0.9,3,0.3,607,61.4,380,38.5,1,0.1,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,4.585597,0.3282993,0.065095,3.5583647,0.0584864,0.4424759,0.0039991,0.0396032,0.5726318,0.5490363,1.9792772,3.6368494,3.3925226,0.3867659,0.7160615,0.880163,0.2254691,0.7924688,22.2131662
Barking and Dagenham,Thames View Infants' School,138684,IG11 0LG,2021,Barking,E14000540,Thames,E05000039,E09000002,3012021,01/09/2012,Mixed,122,27.9,State-funded primary,Not applicable,No religious character,215,225,438,41,17.1,0,0,0,0,37,15.4,1,0.4,7,2.9,4,1.7,3,1.3,3,1.3,7,2.9,9,3.8,28,11.7,13,5.4,5,2.1,69,28.8,13,5.4,0,0,0,0,0,0,62,25.8,178,74.2,0,0,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,9.614403,0.2717007,0.065095,2.0583647,0.0415136,0.4575241,4.8960009,0.3603968,0.2726318,0.8509637,0.4792772,2.2368494,4.3074774,2.5867659,0.4160615,2.680163,0.2745309,1.6924688,33.5621884
Barking and Dagenham,St Margarets CofE Primary School,101233,IG11 8AS,3300,Barking,E14000540,Abbey,E05000026,E09000002,3013300,,Mixed,32,6.9,State-funded primary,Not applicable,Church of England,230,230,463,15,4.2,0,0,0,0,12,3.4,0,0,6,1.7,14,4,1,0.3,6,1.7,3,0.8,6,1.7,0,0,4,1.1,10,2.8,247,70,23,6.5,3,0.8,3,0.8,0,0,116,32.9,236,66.9,1,0.3,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,22.514403,0.2717007,0.065095,9.9416353,0.4415136,0.7424759,46.0960009,1.9396032,0.7273682,0.4509637,2.5792772,4.3368494,7.3925226,1.7132341,0.2839385,3.780163,0.5254691,0.8924688,104.6946822
Barking and Dagenham,Eastbury Primary School,101189,IG11 9QQ,2006,Barking,E14000540,Eastbury,E05000031,E09000002,3012006,,Mixed,180,20.3,State-funded primary,Not applicable,No religious character,420,465,886,104,15.2,0,0,0,0,116,17,4,0.6,11,1.6,19,2.8,5,0.7,14,2,25,3.7,71,10.4,87,12.7,19,2.8,15,2.2,171,25,12,1.8,4,0.6,4,0.6,2,0.3,214,31.3,469,68.7,0,0,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,11.514403,0.2717007,0.065095,3.6583647,0.1584864,0.8424759,1.0960009,0.7396032,0.3273682,0.1509637,0.3207228,4.3631506,5.3074774,0.0132341,0.3160615,0.919837,0.3254691,1.0924688,31.482883
Barking and Dagenham,The James Cambell Primary School,101186,RM9 6TD,2001,Barking,E14000540,Goresbrook,E05000033,E09000002,3012001,,Mixed,161,17.8,State-funded primary,Not applicable,No religious character,435,470,907,243,34,1,0.1,0,0,83,11.6,0,0,14,2,24,3.4,2,0.3,12,1.7,15,2.1,19,2.7,33,4.6,13,1.8,14,2,181,25.4,20,2.8,1,0.1,20,2.8,19,2.7,401,56.2,305,42.7,8,1.1,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,7.285597,0.1717007,0.065095,1.7416353,0.4415136,0.4424759,1.4960009,1.3396032,0.7273682,0.4509637,1.2792772,3.3368494,2.7925226,1.0132341,0.5160615,0.080163,0.1745309,1.1075312,24.4621234
Barking and Dagenham,Dorothy Barley Infants' School,101188,RM8 2LL,2005,Barking,E14000540,Mayesbrook,E05000036,E09000002,3012005,,Mixed,50,12,State-funded primary,Not applicable,No religious character,200,215,415,90,38.6,0,0,0,0,58,24.9,2,0.9,8,3.4,6,2.6,1,0.4,8,3.4,2,0.9,8,3.4,9,3.9,6,2.6,1,0.4,24,10.3,3,1.3,0,0,7,3,0,0,116,49.8,116,49.8,1,0.4,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,11.885597,0.2717007,0.065095,11.5583647,0.4584864,0.9575241,13.6039991,0.5396032,0.6273682,1.2490363,2.4792772,2.6368494,3.4925226,0.2132341,2.1160615,1.419837,0.2745309,1.3075312,55.1566186
Barking and Dagenham,Thomas Arnold Primary School,101220,RM9 6NH,2056,Dagenham and Rainham,E14000657,River,E05000038,E09000002,3012056,,Mixed,128,25,State-funded primary,Not applicable,No religious character,230,280,511,156,38,2,0.5,0,0,72,17.5,0,0,10,2.4,8,1.9,1,0.2,5,1.2,1,0.2,9,2.2,23,5.6,8,1.9,8,1.9,101,24.6,3,0.7,2,0.5,1,0.2,1,0.2,172,41.8,219,53.3,20,4.9,26.714403,0.2717007,0.065095,13.3416353,0.4415136,2.4424759,23.9039991,2.0603968,1.0273682,2.1509637,3.3792772,6.0368494,7.3925226,2.8132341,2.5160615,2.719837,0.2745309,1.6924688,0.7556675,11.285597,0.2282993,0.065095,4.1583647,0.4415136,0.0424759,0.6960009,0.1603968,0.8273682,0.9509637,3.1792772,3.8368494,1.7925226,0.9132341,0.6160615,2.019837,0.2254691,1.4924688,32.9317948
